partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento;linea;periodo;cuota_media;cuota_max;prob_implicita;n_casas
MAR_BRA;2026-06-14;Morocco;Brazil;1X2;-;gana_A;-;FT;5,6;6,0;0,1711;24
MAR_BRA;2026-06-14;Morocco;Brazil;1X2;-;empate;-;FT;3,705;3,86;0,2586;24
MAR_BRA;2026-06-14;Morocco;Brazil;1X2;-;gana_B;-;FT;1,68;1,74;0,5703;24
MAR_BRA;2026-06-14;Morocco;Brazil;goles;TOTAL;over;2.25;FT;2,0;2,0;0,4885;1
MAR_BRA;2026-06-14;Morocco;Brazil;goles;TOTAL;under;2.25;FT;1,91;1,91;0,5115;1
MAR_BRA;2026-06-14;Morocco;Brazil;goles;TOTAL;over;2.5;FT;2,13;2,3;0,4439;12
MAR_BRA;2026-06-14;Morocco;Brazil;goles;TOTAL;under;2.5;FT;1,7;1,76;0,5561;12
MAR_BRA;2026-06-14;Morocco;Brazil;goles;TOTAL;over;3.0;FT;3,15;3,15;0,3016;1
MAR_BRA;2026-06-14;Morocco;Brazil;goles;TOTAL;under;3.0;FT;1,36;1,36;0,6984;1
HAI_SCO;2026-06-14;Haiti;Scotland;1X2;-;gana_A;-;FT;6,0;6,4;0,1605;24
HAI_SCO;2026-06-14;Haiti;Scotland;1X2;-;empate;-;FT;4,5;4,8;0,214;24
HAI_SCO;2026-06-14;Haiti;Scotland;1X2;-;gana_B;-;FT;1,54;1,56;0,6254;24
HAI_SCO;2026-06-14;Haiti;Scotland;goles;TOTAL;over;3.0;FT;2,09;2,12;0,4641;4
HAI_SCO;2026-06-14;Haiti;Scotland;goles;TOTAL;under;3.0;FT;1,81;1,85;0,5359;4
HAI_SCO;2026-06-14;Haiti;Scotland;goles;TOTAL;over;2.5;FT;1,65;1,7;0,5769;10
HAI_SCO;2026-06-14;Haiti;Scotland;goles;TOTAL;under;2.5;FT;2,25;2,4;0,4231;10
HAI_SCO;2026-06-14;Haiti;Scotland;goles;TOTAL;over;3.5;FT;2,65;2,65;0,363;1
HAI_SCO;2026-06-14;Haiti;Scotland;goles;TOTAL;under;3.5;FT;1,51;1,51;0,637;1
AUS_TUR;2026-06-14;Australia;Türkiye;1X2;-;gana_A;-;FT;5,3;6,0;0,1814;24
AUS_TUR;2026-06-14;Australia;Türkiye;1X2;-;empate;-;FT;3,8;3,95;0,253;24
AUS_TUR;2026-06-14;Australia;Türkiye;1X2;-;gana_B;-;FT;1,7;1,74;0,5656;24
AUS_TUR;2026-06-14;Australia;Türkiye;goles;TOTAL;over;2.5;FT;2,03;2,1;0,47;13
AUS_TUR;2026-06-14;Australia;Türkiye;goles;TOTAL;under;2.5;FT;1,8;1,85;0,53;13
AUS_TUR;2026-06-14;Australia;Türkiye;goles;TOTAL;over;3.0;FT;2,85;2,85;0,3341;1
AUS_TUR;2026-06-14;Australia;Türkiye;goles;TOTAL;under;3.0;FT;1,43;1,43;0,6659;1
CUR_GER;2026-06-14;Curaçao;Germany;1X2;-;gana_A;-;FT;41,0;70,0;0,0235;24
CUR_GER;2026-06-14;Curaçao;Germany;1X2;-;empate;-;FT;19,0;25,0;0,0507;24
CUR_GER;2026-06-14;Curaçao;Germany;1X2;-;gana_B;-;FT;1,04;1,06;0,9258;24
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;over;4.25;FT;1,92;1,92;0,5;1
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;under;4.25;FT;1,92;1,92;0,5;1
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;over;4.5;FT;2,08;2,2;0,4555;10
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;under;4.5;FT;1,74;1,81;0,5445;10
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;over;2.5;FT;1,18;1,18;0,8075;3
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;under;2.5;FT;4,95;4,95;0,1925;3
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;over;4.0;FT;1,74;1,74;0,5469;1
CUR_GER;2026-06-14;Curaçao;Germany;goles;TOTAL;under;4.0;FT;2,1;2,1;0,4531;1
JPN_NED;2026-06-14;Japan;Netherlands;1X2;-;gana_A;-;FT;3,8;4,0;0,2528;23
JPN_NED;2026-06-14;Japan;Netherlands;1X2;-;empate;-;FT;3,6;3,7;0,2669;23
JPN_NED;2026-06-14;Japan;Netherlands;1X2;-;gana_B;-;FT;2,0;2,06;0,4803;23
JPN_NED;2026-06-14;Japan;Netherlands;goles;TOTAL;over;2.5;FT;1,92;2,0;0,4974;13
JPN_NED;2026-06-14;Japan;Netherlands;goles;TOTAL;under;2.5;FT;1,9;1,98;0,5026;13
JPN_NED;2026-06-14;Japan;Netherlands;goles;TOTAL;over;3.0;FT;2,55;2,55;0,3765;1
JPN_NED;2026-06-14;Japan;Netherlands;goles;TOTAL;under;3.0;FT;1,54;1,54;0,6235;1
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;1X2;-;gana_A;-;FT;3,6;3,85;0,2669;24
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;1X2;-;empate;-;FT;2,845;2,98;0,3377;24
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;1X2;-;gana_B;-;FT;2,43;2,56;0,3954;24
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;over;1.75;FT;1,83;1,83;0,532;1
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;under;1.75;FT;2,08;2,08;0,468;1
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;over;2.0;FT;2,23;2,28;0,4383;3
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;under;2.0;FT;1,74;1,75;0,5617;3
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;over;2.5;FT;2,95;3,0;0,3226;4
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;under;2.5;FT;1,405;1,41;0,6774;4
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;over;1.5;FT;1,565;1,63;0,5977;6
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;goles;TOTAL;under;1.5;FT;2,325;2,43;0,4023;6
TUN_SWE;2026-06-15;Tunisia;Sweden;1X2;-;gana_A;-;FT;4,39;4,75;0,2181;24
TUN_SWE;2026-06-15;Tunisia;Sweden;1X2;-;empate;-;FT;3,48;3,65;0,2752;24
TUN_SWE;2026-06-15;Tunisia;Sweden;1X2;-;gana_B;-;FT;1,89;1,96;0,5067;24
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;2.5;FT;2,18;2,26;0,4293;11
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;2.5;FT;1,64;1,73;0,5707;11
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;2.25;FT;1,96;1,96;0,4961;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;2.25;FT;1,93;1,93;0,5039;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;2.0;FT;1,71;1,71;0,5671;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;2.0;FT;2,24;2,24;0,4329;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;1.5;FT;1,38;1,38;0,6849;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;1.5;FT;3,0;3,0;0,3151;1
CPV_ESP;2026-06-15;Cabo Verde;Spain;1X2;-;gana_A;-;FT;26,0;38,0;0,0367;24
CPV_ESP;2026-06-15;Cabo Verde;Spain;1X2;-;empate;-;FT;11,5;14,5;0,083;24
CPV_ESP;2026-06-15;Cabo Verde;Spain;1X2;-;gana_B;-;FT;1,085;1,11;0,8802;24
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;over;3.5;FT;1,93;2,04;0,4921;11
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;under;3.5;FT;1,87;1,93;0,5079;11
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;over;2.5;FT;1,37;1,37;0,6969;3
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;under;2.5;FT;3,15;3,15;0,3031;3
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;over;4.0;FT;2,75;2,75;0,3437;1
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;under;4.0;FT;1,44;1,44;0,6563;1
EGY_BEL;2026-06-15;Egypt;Belgium;1X2;-;gana_A;-;FT;5,75;6,4;0,1661;24
EGY_BEL;2026-06-15;Egypt;Belgium;1X2;-;empate;-;FT;4,0;4,25;0,2388;24
EGY_BEL;2026-06-15;Egypt;Belgium;1X2;-;gana_B;-;FT;1,605;1,69;0,5951;24
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;over;2.5;FT;1,945;2,06;0,4915;14
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;under;2.5;FT;1,88;1,94;0,5085;14
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;over;3.0;FT;2,75;2,75;0,3499;1
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;under;3.0;FT;1,48;1,48;0,6501;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;1X2;-;gana_A;-;FT;8,1;9,0;0,1181;24
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;1X2;-;empate;-;FT;4,5;4,7;0,2127;24
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;1X2;-;gana_B;-;FT;1,43;1,47;0,6692;24
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;over;2.25;FT;1,83;1,83;0,532;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;under;2.25;FT;2,08;2,08;0,468;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;over;2.5;FT;1,975;2,12;0,4782;12
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;under;2.5;FT;1,81;1,85;0,5218;12
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;over;3.0;FT;2,9;2,9;0,3287;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;under;3.0;FT;1,42;1,42;0,6713;1
NZL_IRN;2026-06-16;New Zealand;Iran;1X2;-;gana_A;-;FT;4,765;5,0;0,2014;24
NZL_IRN;2026-06-16;New Zealand;Iran;1X2;-;empate;-;FT;3,5;3,6;0,2742;24
NZL_IRN;2026-06-16;New Zealand;Iran;1X2;-;gana_B;-;FT;1,83;1,89;0,5244;24
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;over;2.0;FT;1,815;1,84;0,534;4
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;under;2.0;FT;2,08;2,1;0,466;4
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;over;2.5;FT;2,33;2,45;0,4041;9
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;under;2.5;FT;1,58;1,62;0,5959;9
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;over;1.5;FT;1,48;1,48;0,6501;1
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;under;1.5;FT;2,75;2,75;0,3499;1
SEN_FRA;2026-06-16;Senegal;France;1X2;-;gana_A;-;FT;7,25;8,0;0,1326;24
SEN_FRA;2026-06-16;Senegal;France;1X2;-;empate;-;FT;4,465;4,6;0,2154;24
SEN_FRA;2026-06-16;Senegal;France;1X2;-;gana_B;-;FT;1,475;1,51;0,652;24
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;over;2.5;FT;1,93;2,02;0,4934;14
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;under;2.5;FT;1,88;1,96;0,5066;14
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;over;3.0;FT;2,75;2,75;0,3499;1
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;under;3.0;FT;1,48;1,48;0,6501;1
IRQ_NOR;2026-06-17;Iraq;Norway;1X2;-;gana_A;-;FT;15,0;18,0;0,0637;24
IRQ_NOR;2026-06-17;Iraq;Norway;1X2;-;empate;-;FT;7,125;8,0;0,134;24
IRQ_NOR;2026-06-17;Iraq;Norway;1X2;-;gana_B;-;FT;1,19;1,22;0,8023;24
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;over;3.0;FT;1,88;1,96;0,5072;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;under;3.0;FT;1,935;1,98;0,4928;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;over;3.5;FT;2,375;2,45;0,3972;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;under;3.5;FT;1,565;1,6;0,6028;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;over;2.5;FT;1,58;1,6;0,603;6
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;under;2.5;FT;2,4;2,42;0,397;6
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;gana_A;-;FT;1,4;1,43;0,685;24
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;empate;-;FT;4,6;4,9;0,2085;24
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;gana_B;-;FT;9,0;10,0;0,1066;24
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;2.5;FT;1,935;2,06;0,4921;14
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;2.5;FT;1,875;1,94;0,5079;14
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;3.0;FT;2,7;2,7;0,3571;1
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;3.0;FT;1,5;1,5;0,6429;1
JOR_AUT;2026-06-17;Jordan;Austria;1X2;-;gana_A;-;FT;9,0;10,0;0,1063;24
JOR_AUT;2026-06-17;Jordan;Austria;1X2;-;empate;-;FT;5,475;6,0;0,1747;24
JOR_AUT;2026-06-17;Jordan;Austria;1X2;-;gana_B;-;FT;1,33;1,37;0,7191;24
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;2.5;FT;1,62;1,7;0,5759;9
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;2.5;FT;2,2;2,32;0,4241;9
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;2.75;FT;1,9;1,9;0,5116;1
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;2.75;FT;1,99;1,99;0,4884;1
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;3.0;FT;2,05;2,08;0,4716;3
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;3.0;FT;1,83;1,85;0,5284;3
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;3.5;FT;2,75;2,75;0,3499;1
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;3.5;FT;1,48;1,48;0,6501;1
COD_POR;2026-06-17;DR Congo;Portugal;1X2;-;gana_A;-;FT;10,875;12,5;0,088;22
COD_POR;2026-06-17;DR Congo;Portugal;1X2;-;empate;-;FT;5,725;6,0;0,1672;22
COD_POR;2026-06-17;DR Congo;Portugal;1X2;-;gana_B;-;FT;1,285;1,33;0,7448;22
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;over;2.5;FT;1,68;1,73;0,5591;10
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;under;2.5;FT;2,13;2,21;0,4409;10
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;over;2.75;FT;1,92;1,92;0,5064;1
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;under;2.75;FT;1,97;1,97;0,4936;1
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;over;3.5;FT;2,7;2,7;0,3494;1
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;under;3.5;FT;1,45;1,45;0,6506;1
CRO_ENG;2026-06-17;Croatia;England;1X2;-;gana_A;-;FT;5,0;5,5;0,1918;24
CRO_ENG;2026-06-17;Croatia;England;1X2;-;empate;-;FT;3,85;3,95;0,2491;24
CRO_ENG;2026-06-17;Croatia;England;1X2;-;gana_B;-;FT;1,715;1,77;0,5591;24
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;over;2.25;FT;1,93;1,93;0,5039;1
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;under;2.25;FT;1,96;1,96;0,4961;1
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;over;2.5;FT;2,09;2,21;0,4493;12
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;under;2.5;FT;1,705;1,77;0,5507;12
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;over;3.0;FT;3,0;3,0;0,3151;1
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;under;3.0;FT;1,38;1,38;0,6849;1
PAN_GHA;2026-06-18;Panama;Ghana;1X2;-;gana_A;-;FT;3,47;3,6;0,2757;24
PAN_GHA;2026-06-18;Panama;Ghana;1X2;-;empate;-;FT;3,4;3,53;0,2814;24
PAN_GHA;2026-06-18;Panama;Ghana;1X2;-;gana_B;-;FT;2,16;2,28;0,4429;24
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;2.25;FT;2,04;2,04;0,4756;1
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;2.25;FT;1,85;1,85;0,5244;1
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;2.0;FT;1,71;1,73;0,5535;3
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;2.0;FT;2,12;2,23;0,4465;3
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;2.5;FT;2,255;2,4;0,4203;10
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;2.5;FT;1,635;1,69;0,5797;10
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;1.5;FT;1,43;1,43;0,6659;1
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;1.5;FT;2,85;2,85;0,3341;1
COL_UZB;2026-06-18;Colombia;Uzbekistan;1X2;-;gana_A;-;FT;1,38;1,42;0,6907;24
COL_UZB;2026-06-18;Colombia;Uzbekistan;1X2;-;empate;-;FT;4,7;4,9;0,2028;24
COL_UZB;2026-06-18;Colombia;Uzbekistan;1X2;-;gana_B;-;FT;8,95;10,5;0,1065;24
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;over;2.5;FT;1,94;2,02;0,4881;14
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;under;2.5;FT;1,85;1,95;0,5119;14
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;over;2.0;FT;1,48;1,48;0,6501;1
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;under;2.0;FT;2,75;2,75;0,3499;1
RSA_CZE;2026-06-18;South Africa;Czechia;1X2;-;gana_A;-;FT;4,625;5,0;0,206;24
RSA_CZE;2026-06-18;South Africa;Czechia;1X2;-;empate;-;FT;3,75;4,0;0,2541;24
RSA_CZE;2026-06-18;South Africa;Czechia;1X2;-;gana_B;-;FT;1,765;1,82;0,5399;24
