mercado;etiqueta;fuente;n;brier;acierto;ece;cob80;bins_json
1X2;Resultado (1X2);backtest;1287;0.1823;0.7382;0.0366;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.12119681584487657, ""real"": 0.14074074074074075, ""n"": 270}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.28017773662986667, ""real"": 0.2469325153374233, ""n"": 652}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4873573351736095, ""real"": 0.5648148148148148, ""n"": 216}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.7043342220724881, ""real"": 0.7165354330708661, ""n"": 127}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8582429472047547, ""real"": 0.7727272727272727, ""n"": 22}]"
doble_oportunidad;Doble oportunidad;backtest;1287;0.1823;0.7382;0.0366;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.14175705279524517, ""real"": 0.22727272727272727, ""n"": 22}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2956657779275116, ""real"": 0.28346456692913385, ""n"": 127}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5126426648263905, ""real"": 0.4351851851851852, ""n"": 216}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.7198222633701333, ""real"": 0.7530674846625767, ""n"": 652}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8788031841551235, ""real"": 0.8592592592592593, ""n"": 270}]"
btts;Ambos marcan;backtest;429;0.2394;0.5594;0.0283;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.14316008092860866, ""real"": 0.25, ""n"": 8}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.34615330113249826, ""real"": 0.3076923076923077, ""n"": 65}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5035031662358919, ""real"": 0.4813664596273292, ""n"": 322}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.637520925191617, ""real"": 0.5882352941176471, ""n"": 34}]"
goles;Goles O/U;backtest;1715;0.1927;0.698;0.0206;0.7949;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.18523404255319148, ""real"": 0.14893617021276595, ""n"": 47}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.28488741721854305, ""real"": 0.2913907284768212, ""n"": 453}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49403320312500004, ""real"": 0.5026041666666666, ""n"": 384}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.72182371007371, ""real"": 0.683046683046683, ""n"": 407}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9092729952830189, ""real"": 0.8820754716981132, ""n"": 424}]"
corner_kicks;Córners O/U;backtest;1714;0.2397;0.6097;0.0411;0.6993;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.10808870967741935, ""real"": 0.4838709677419355, ""n"": 31}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.33542817679558007, ""real"": 0.4088397790055249, ""n"": 362}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49830708092485543, ""real"": 0.5101156069364162, ""n"": 692}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6812983716475095, ""real"": 0.6628352490421456, ""n"": 522}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9010957943925233, ""real"": 0.7663551401869159, ""n"": 107}]"
yellow_cards;Tarjetas O/U;backtest;1703;0.2192;0.67;0.0891;0.7552;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.12516161616161614, ""real"": 0.31313131313131315, ""n"": 99}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2978959899749373, ""real"": 0.3182957393483709, ""n"": 399}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49628846153846157, ""real"": 0.4076923076923077, ""n"": 390}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.7013816176470589, ""real"": 0.6088235294117647, ""n"": 340}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.915558947368421, ""real"": 0.791578947368421, ""n"": 475}]"
fouls;Faltas O/U;backtest;1716;0.2508;0.5513;0.059;0.6713;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.12623529411764708, ""real"": 0.4117647058823529, ""n"": 17}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3516558704453442, ""real"": 0.44129554655870445, ""n"": 247}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49981757508342606, ""real"": 0.474972191323693, ""n"": 899}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6646559999999999, ""real"": 0.57, ""n"": 500}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8803160377358492, ""real"": 0.7924528301886793, ""n"": 53}]"
total_shots;Tiros O/U;backtest;1716;0.2542;0.5449;0.0761;0.6737;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.096225, ""real"": 0.7, ""n"": 20}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.35657015306122447, ""real"": 0.413265306122449, ""n"": 196}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49882017148014435, ""real"": 0.44494584837545126, ""n"": 1108}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6558140845070423, ""real"": 0.5408450704225352, ""n"": 355}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8899391891891892, ""real"": 0.7027027027027027, ""n"": 37}]"
shots_on_target;Tiros a puerta O/U;backtest;1716;0.2432;0.5944;0.0704;0.7063;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11272857142857143, ""real"": 0.6571428571428571, ""n"": 35}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.33229132791327914, ""real"": 0.3875338753387534, ""n"": 369}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4999971910112359, ""real"": 0.4510433386837881, ""n"": 623}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6922270554493308, ""real"": 0.627151051625239, ""n"": 523}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8786415662650604, ""real"": 0.7771084337349398, ""n"": 166}]"
shots_off_target;shots_off_target;backtest;1716;0.2433;0.602;0.0642;0.711;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.10490000000000001, ""real"": 0.7333333333333333, ""n"": 15}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.33352098765432103, ""real"": 0.36790123456790125, ""n"": 405}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.499733993902439, ""real"": 0.4603658536585366, ""n"": 656}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6850830258302583, ""real"": 0.5885608856088561, ""n"": 542}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8744744897959185, ""real"": 0.7857142857142857, ""n"": 98}]"
shots_inside_box;shots_inside_box;backtest;1716;0.2528;0.5659;0.0476;0.6713;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11689130434782606, ""real"": 0.782608695652174, ""n"": 23}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3493503717472119, ""real"": 0.379182156133829, ""n"": 269}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4967581096196868, ""real"": 0.49776286353467564, ""n"": 894}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6735089662447257, ""real"": 0.5759493670886076, ""n"": 474}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8975133928571429, ""real"": 0.6964285714285714, ""n"": 56}]"
shots_outside_box;shots_outside_box;backtest;1716;0.2449;0.5915;0.0716;0.6527;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.09707575757575758, ""real"": 0.42424242424242425, ""n"": 33}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.33078621169916433, ""real"": 0.3398328690807799, ""n"": 359}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49766946564885495, ""real"": 0.45648854961832064, ""n"": 655}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.682011009174312, ""real"": 0.5669724770642202, ""n"": 545}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8960141129032259, ""real"": 0.7419354838709677, ""n"": 124}]"
blocked_shots;blocked_shots;backtest;1712;0.2376;0.6256;0.0711;0.676;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.09515573770491803, ""real"": 0.3442622950819672, ""n"": 61}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.32387470862470863, ""real"": 0.36363636363636365, ""n"": 429}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4961078528827038, ""real"": 0.44731610337972166, ""n"": 503}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6942332995951417, ""real"": 0.6255060728744939, ""n"": 494}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8885566666666667, ""real"": 0.7511111111111111, ""n"": 225}]"
offsides;Fueras de juego O/U;backtest;1704;0.2044;0.6984;0.0548;0.7925;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.13582568807339448, ""real"": 0.28440366972477066, ""n"": 109}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.30099880668257756, ""real"": 0.27923627684964203, ""n"": 419}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4982894088669951, ""real"": 0.458128078817734, ""n"": 406}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.7071202898550725, ""real"": 0.6579710144927536, ""n"": 345}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9146888235294117, ""real"": 0.8329411764705882, ""n"": 425}]"
tackles;Entradas O/U;backtest;1716;0.2613;0.5052;0.0907;0.6853;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.0825892857142857, ""real"": 0.5, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3548842592592592, ""real"": 0.5185185185185185, ""n"": 162}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5023757523645744, ""real"": 0.43680137575236455, ""n"": 1163}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6561556338028169, ""real"": 0.5464788732394367, ""n"": 355}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9165681818181818, ""real"": 0.5454545454545454, ""n"": 22}]"
goalkeeper_saves;Paradas O/U;backtest;1709;0.2326;0.622;0.0529;0.7576;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11409154929577466, ""real"": 0.28169014084507044, ""n"": 71}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3125805837563452, ""real"": 0.31725888324873097, ""n"": 394}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4967088815789473, ""real"": 0.5021929824561403, ""n"": 456}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.7020774378585085, ""real"": 0.6290630975143403, ""n"": 523}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8906575471698113, ""real"": 0.7547169811320755, ""n"": 265}]"
free_kicks;free_kicks;backtest;1716;0.2542;0.5355;0.0635;0.6713;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.06683333333333334, ""real"": 0.6666666666666666, ""n"": 9}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.35209490740740745, ""real"": 0.4675925925925926, ""n"": 216}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5043821138211382, ""real"": 0.4817073170731707, ""n"": 984}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6609618644067797, ""real"": 0.5466101694915254, ""n"": 472}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8934857142857142, ""real"": 0.8285714285714286, ""n"": 35}]"
throw-ins;throw-ins;backtest;1716;0.252;0.5437;0.0598;0.6993;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1012857142857143, ""real"": 0.42857142857142855, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.35335778443113774, ""real"": 0.46706586826347307, ""n"": 167}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5007739448051949, ""real"": 0.45454545454545453, ""n"": 1232}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6500194346289753, ""real"": 0.5971731448763251, ""n"": 283}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9066375000000001, ""real"": 0.55, ""n"": 20}]"
goal_kicks;goal_kicks;backtest;1716;0.2529;0.553;0.0838;0.8089;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.10865625, ""real"": 0.625, ""n"": 16}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.342369391025641, ""real"": 0.391025641025641, ""n"": 312}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.499516876430206, ""real"": 0.4244851258581236, ""n"": 874}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6706481481481481, ""real"": 0.5773420479302832, ""n"": 459}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8892772727272726, ""real"": 0.6727272727272727, ""n"": 55}]"
passes;passes;backtest;1716;0.2678;0.4528;0.0766;0.7366;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.15464285714285714, ""real"": 1.0, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3400833333333334, ""real"": 0.6574074074074074, ""n"": 108}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49334368457780886, ""real"": 0.45708304256803906, ""n"": 1433}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6559685534591195, ""real"": 0.44654088050314467, ""n"": 159}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.995, ""real"": 1.0, ""n"": 2}]"
accurate_passes;accurate_passes;backtest;1716;0.2688;0.4312;0.0618;0.7762;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1511607142857143, ""real"": 1.0, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3380133928571429, ""real"": 0.6696428571428571, ""n"": 112}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49294146341463413, ""real"": 0.4752613240418119, ""n"": 1435}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6514183006535947, ""real"": 0.4444444444444444, ""n"": 153}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.995, ""real"": 1.0, ""n"": 2}]"
